[22:31:58] DirThread-31 | http://154.144.242.108/nul --> 403
[22:31:58] DirThread-9 | http://154.144.242.108/aux --> 403
[22:32:01] DirThread-24 | http://154.144.242.108/index.php --> 200
[22:32:01] DirThread-13 | http://154.144.242.108/com1 --> 403
[22:32:02] DirThread-13 | http://154.144.242.108/com2 --> 403
[22:32:03] DirThread-13 | http://154.144.242.108/com3 --> 403
[22:32:03] DirThread-13 | http://154.144.242.108/com4 --> 403
[22:32:05] DirThread-1 | http://154.144.242.108/.hta --> 403
[22:32:05] DirThread-1 | http://154.144.242.108/.htaccess --> 403
[22:32:05] DirThread-1 | http://154.144.242.108/.htpasswd --> 403
[22:32:06] DirThread-35 | http://154.144.242.108/prn --> 403
[22:32:11] DirThread-21 | http://154.144.242.108/gestion --> 301
[22:32:15] DirThread-33 | http://154.144.242.108/phpmyadmin --> 403
[22:32:17] DirThread-13 | http://154.144.242.108/con --> 403
[22:32:21] DirThread-3 | http://154.144.242.108/Index --> 200
[22:32:21] DirThread-27 | http://154.144.242.108/lpt1 --> 403
[22:32:21] DirThread-27 | http://154.144.242.108/lpt2 --> 403
[22:32:30] DirThread-11 | http://154.144.242.108/cgi-bin/ --> 403
[22:32:31] DirThread-23 | http://154.144.242.108/index --> 200
[22:32:32] DirThread-19 | http://154.144.242.108/favicon.ico --> 200
[21:52:27] DirThread-1 | http://41.111.132.12/.hta --> 403
[21:52:27] DirThread-1 | http://41.111.132.12/.htaccess --> 403
[21:52:27] DirThread-1 | http://41.111.132.12/.htpasswd --> 403
[21:52:27] DirThread-24 | http://41.111.132.12/index.html --> 200
[21:52:28] DirThread-1 | http://41.111.132.12/.well-known/acme-challenge --> 301
[21:52:37] DirThread-14 | http://41.111.132.12/css --> 301
[21:52:37] DirThread-23 | http://41.111.132.12/img --> 301
[21:52:38] DirThread-11 | http://41.111.132.12/cgi-bin/ --> 403
[21:17:32] DirThread-1 | https://sberdiltek.com/.bash_history --> 200
[21:17:32] DirThread-24 | https://sberdiltek.com/index.html --> 200
[21:17:32] DirThread-24 | https://sberdiltek.com/index.php --> 200
[21:17:32] DirThread-1 | https://sberdiltek.com/.bashrc --> 200
[21:17:34] DirThread-12 | https://sberdiltek.com/checkout --> 302
[21:17:34] DirThread-11 | https://sberdiltek.com/cart --> 200
[21:17:35] DirThread-6 | https://sberdiltek.com/admin --> 301
[21:17:36] DirThread-6 | https://sberdiltek.com/admin.cgi --> 301
[21:17:37] DirThread-6 | https://sberdiltek.com/admin.php --> 301
[21:17:37] DirThread-6 | https://sberdiltek.com/admin.pl --> 301
[21:17:51] SubThread-1 | https://www.sberdiltek.com --> 301
